Subject	Activity	tBodyAccmeanX	tBodyAccmeanY	tBodyAccmeanZ	tBodyAccstdX	tBodyAccstdY	tBodyAccstdZ	tGravityAccmeanX	tGravityAccmeanY	tGravityAccmeanZ	tGravityAccstdX	tGravityAccstdY	tGravityAccstdZ	tBodyAccJerkmeanX	tBodyAccJerkmeanY	tBodyAccJerkmeanZ	tBodyAccJerkstdX	tBodyAccJerkstdY	tBodyAccJerkstdZ	tBodyGyromeanX	tBodyGyromeanY	tBodyGyromeanZ	tBodyGyrostdX	tBodyGyrostdY	tBodyGyrostdZ	tBodyGyroJerkmeanX	tBodyGyroJerkmeanY	tBodyGyroJerkmeanZ	tBodyGyroJerkstdX	tBodyGyroJerkstdY	tBodyGyroJerkstdZ	tBodyAccMagmean	tBodyAccMagstd	tGravityAccMagmean	tGravityAccMagstd	tBodyAccJerkMagmean	tBodyAccJerkMagstd	tBodyGyroMagmean	tBodyGyroMagstd	tBodyGyroJerkMagmean	tBodyGyroJerkMagstd	fBodyAccmeanX	fBodyAccmeanY	fBodyAccmeanZ	fBodyAccstdX	fBodyAccstdY	fBodyAccstdZ	fBodyAccJerkmeanX	fBodyAccJerkmeanY	fBodyAccJerkmeanZ	fBodyAccJerkstdX	fBodyAccJerkstdY	fBodyAccJerkstdZ	fBodyGyromeanX	fBodyGyromeanY	fBodyGyromeanZ	fBodyGyrostdX	fBodyGyrostdY	fBodyGyrostdZ	fBodyAccMagmean	fBodyAccMagstd	fBodyBodyAccJerkMagmean	fBodyBodyAccJerkMagstd	fBodyBodyGyroMagmean	fBodyBodyGyroMagstd	fBodyBodyGyroJerkMagmean	fBodyBodyGyroJerkMagstd
 1	            LAYING	0.2215982439	-0.040513953429	-0.11320355358	-0.928056469200	-0.836827405620	-0.826061401628	-0.2488817983	 0.705549773460	 0.445817719800	-0.8968300184	-0.9077200068	-0.8523662902	0.08108653420	 0.0038382040088	 0.01083423636100	-0.958482112000	-0.924149273600	-0.95485511080	-0.016553093978	-0.064486124088	 0.148689436260	-0.87354386782	-0.951090440200	-0.90828466260	-0.10727094919	-0.04151728689	-0.074050121100	-0.91860852080	-0.96790724360	-0.957790159600	-0.8419291525000	-0.79514486386	-0.8419291525000	-0.79514486386	-0.954396264600	-0.92824562840	-0.874759548000	-0.81901016976	-0.96346103000	-0.93584098280	-0.93909905240	-0.867065205180	-0.88266687620	-0.924437434600	-0.833625556100	-0.81289155944	-0.957073883800	-0.922462609800	-0.94806090420	-0.964160708600	-0.932217870400	-0.96058698720	-0.85024917459	-0.95219149480	-0.90930272100	-0.8822964508	-0.95123204940	-0.91658250820	-0.861767648100	-0.7983009404000	-0.9333003608000	-0.92180397560	-0.8621901854000	-0.82431943968	-0.94236694660	-0.93266066760
 1	           SITTING	0.2612375654	-0.001308287652	-0.10454418226	-0.977229008298	-0.922618641915	-0.939586291064	 0.8315099334	 0.204411592681	 0.332043702766	-0.9684571457	-0.9355170560	-0.9490409332	0.07748251996	-0.0006191027851	-0.00336779235021	-0.986430711277	-0.981371965319	-0.98791080447	-0.045350056513	-0.091924154936	 0.062931381191	-0.97721128319	-0.966473895319	-0.94142592085	-0.09367938072	-0.04021181243	-0.046702627000	-0.99173159213	-0.98951806851	-0.987935806383	-0.9485367861702	-0.92707841872	-0.9485367861702	-0.92707841872	-0.987364195532	-0.98412002404	-0.930892490000	-0.93453184043	-0.99197634128	-0.98830872851	-0.97964123872	-0.944084550426	-0.95918488915	-0.976412313191	-0.917275006383	-0.93446955809	-0.986597022553	-0.981579467021	-0.98605309234	-0.987492994468	-0.982513909574	-0.98833918489	-0.97616146404	-0.97583858532	-0.95131554447	-0.9779042270	-0.96234504255	-0.94391784106	-0.947782922553	-0.9284448017021	-0.9852621268085	-0.98160617745	-0.9584355893617	-0.93219837489	-0.98979754723	-0.98704961723
 1	          STANDING	0.2789176291	-0.016137590104	-0.11060181774	-0.995759901509	-0.973190056415	-0.979775876981	 0.9429520004	-0.272983832264	 0.013490582323	-0.9937629851	-0.9812259579	-0.9763240636	0.07537665423	 0.0079757309283	-0.00368524954709	-0.994604542264	-0.985648732453	-0.99225117736	-0.023987734798	-0.059397220981	 0.074800751000	-0.98719194660	-0.987734440000	-0.98064562698	-0.09960921291	-0.04406278779	-0.048950546672	-0.99294510698	-0.99513791736	-0.992108467170	-0.9842782073585	-0.98194292887	-0.9842782073585	-0.98194292887	-0.992367790566	-0.99309620943	-0.976493792830	-0.97869002868	-0.99496679057	-0.99473323868	-0.99524993264	-0.977070847736	-0.98529709868	-0.996028345094	-0.972293102075	-0.97793725962	-0.994630797358	-0.985418704528	-0.99075216604	-0.995073759245	-0.987018226792	-0.99234981811	-0.98638678604	-0.98898445585	-0.98077312283	-0.9874971287	-0.98710772774	-0.98234533000	-0.985356361132	-0.9823138047170	-0.9925424775472	-0.99253600340	-0.9846176233962	-0.97846607208	-0.99481537698	-0.99467112321
 1	           WALKING	0.2773307587	-0.017383818527	-0.11114810355	-0.283740258842	 0.114461336747	-0.260027902211	 0.9352232015	-0.282165021263	-0.068102864000	-0.9766096425	-0.9713059615	-0.9477172261	0.07404163332	 0.0282721095884	-0.00416840617789	-0.113615602436	 0.067002500768	-0.50269978853	-0.041830963526	-0.069530046212	 0.084944817304	-0.47353548589	-0.054607768659	-0.34426662947	-0.08999754237	-0.03984287095	-0.046130929502	-0.20742185476	-0.30446851063	-0.404255452632	-0.1369711765568	-0.21968864563	-0.1369711765568	-0.21968864563	-0.141428809032	-0.07447175006	-0.160979552537	-0.18697836453	-0.29870367908	-0.32532487889	-0.20279430633	 0.089712726402	-0.33156011779	-0.319134719579	 0.056040006846	-0.27968675149	-0.170546964550	-0.035225524113	-0.46899922463	-0.133586606326	 0.106739857136	-0.53471344042	-0.33903219712	-0.10305941643	-0.25594094032	-0.5166919387	-0.03350815979	-0.43656222747	-0.128623450629	-0.3980325868421	-0.0571194000343	-0.10349240300	-0.1992525689863	-0.32101795389	-0.31930859378	-0.38160191179
 1	WALKING_DOWNSTAIRS	0.2891883204	-0.009918504610	-0.10756619091	 0.030035338348	-0.031935943449	-0.230434213204	 0.9318744190	-0.266610338980	-0.062119958594	-0.9505598116	-0.9370186590	-0.8959396951	0.05415531649	 0.0296504490408	-0.01097197301837	-0.012283860545	-0.101601390641	-0.34573503233	-0.035078190299	-0.090937129020	 0.090085014203	-0.45803054294	-0.126349194939	-0.12470245424	-0.07395920363	-0.04399027834	-0.027046106106	-0.48702734224	-0.23882482753	-0.268761480243	 0.0271882914106	 0.01988435063	 0.0271882914106	 0.01988435063	-0.089447480798	-0.02578771971	-0.075741254367	-0.22572436806	-0.29546384335	-0.30651064553	 0.03822918315	 0.001549907836	-0.22557447169	 0.024330839139	-0.112963739953	-0.29792789469	-0.027663867612	-0.128667157649	-0.28833473571	-0.086327896640	-0.134580008878	-0.40172146429	-0.35244963136	-0.05570225247	-0.03186942720	-0.4954224861	-0.18141472866	-0.23844356531	 0.096584534304	-0.1865303010735	 0.0262184949327	-0.10405226073	-0.1857202857449	-0.39835039012	-0.28196335918	-0.39191987661
 1	  WALKING_UPSTAIRS	0.2554616896	-0.023953149264	-0.09730200209	-0.354708025094	-0.002320265017	-0.019479238847	 0.8933510975	-0.362153364340	-0.075402939755	-0.9563670279	-0.9528492332	-0.9123794104	0.10137272992	 0.0194863076189	-0.04556254491132	-0.446843887736	-0.378274426038	-0.70659353094	 0.050549379755	-0.166170015089	 0.058359546398	-0.54487110453	 0.004105183798	-0.50716867491	-0.12223276801	-0.04214858845	-0.040712552765	-0.61478650849	-0.60169665623	-0.606332002264	-0.1299276307358	-0.32497092925	-0.1299276307358	-0.32497092925	-0.466503446226	-0.47899162208	-0.126735589970	-0.14861931805	-0.59488286509	-0.64855304434	-0.40432178415	-0.190976720811	-0.43334970208	-0.337428188679	 0.021769510657	 0.08595655438	-0.479875245660	-0.413444587547	-0.68547435396	-0.461907025849	-0.381777065283	-0.72604020075	-0.49261166792	-0.31947460906	-0.45359721302	-0.5658924908	 0.15153890557	-0.57170784000	-0.352395944717	-0.4162601015094	-0.4426521624528	-0.53305985377	-0.3259614573962	-0.18298551826	-0.63466508208	-0.69393052151
 2	            LAYING	0.2813734040	-0.018158739758	-0.10724561042	-0.974059464792	-0.980277398750	-0.984233296875	-0.5097542381	 0.752536639375	 0.646834879583	-0.9590144415	-0.9882118652	-0.9842304181	0.08259725117	 0.0122547884519	-0.00180264895625	-0.985872168750	-0.983172541250	-0.98844201438	-0.018476606750	-0.111800824583	 0.144882846104	-0.98827523292	-0.982291608958	-0.96030656042	-0.10197413421	-0.03585901761	-0.070178302083	-0.99323584917	-0.98956753792	-0.988035821250	-0.9774354852083	-0.97287391292	-0.9774354852083	-0.97287391292	-0.987741696042	-0.98551807625	-0.950011569583	-0.96116405396	-0.99176707417	-0.98971809521	-0.97672505979	-0.979800877917	-0.98438098188	-0.973246482083	-0.981025105625	-0.98479218500	-0.985813630833	-0.982768250417	-0.98619713458	-0.987250255833	-0.984987392917	-0.98934536854	-0.98643114250	-0.98332163542	-0.96267188750	-0.9888606858	-0.98191061646	-0.96317422229	-0.975110196458	-0.9751213879167	-0.9853741147917	-0.98456848917	-0.9721129727083	-0.96109837875	-0.99024870229	-0.98949266042
 2	           SITTING	0.2770873517	-0.015687993728	-0.10921827246	-0.986822279565	-0.950704499130	-0.959828171739	 0.9404772730	-0.105630024499	 0.198726768761	-0.9799887609	-0.9567502730	-0.9544158730	0.07225643872	 0.0116954511324	 0.00760546929870	-0.988055854130	-0.977983955435	-0.98751821174	-0.045470662043	-0.059928679704	 0.041227746217	-0.98574202783	-0.978919526957	-0.95980370870	-0.09363284128	-0.04156020291	-0.043585096650	-0.98970902304	-0.99088961478	-0.985542325652	-0.9678936239130	-0.95308144413	-0.9678936239130	-0.95308144413	-0.986774713043	-0.98447586804	-0.946035087174	-0.96131362413	-0.99108149391	-0.98959491957	-0.98580384065	-0.957343498478	-0.97016217261	-0.987362090000	-0.950073754130	-0.95686286413	-0.987848793696	-0.977139702826	-0.98512905022	-0.989459107391	-0.980804228478	-0.98857080413	-0.98262138957	-0.98210092370	-0.95981482239	-0.9868085015	-0.97735618870	-0.96352265978	-0.961273748261	-0.9555756021739	-0.9838746989130	-0.98412418587	-0.9718405960870	-0.96138574522	-0.98986195087	-0.98963290891
 2	          STANDING	0.2779114722	-0.018420827017	-0.10590853606	-0.987271889259	-0.957304989259	-0.949741851296	 0.8969285669	-0.370062696852	 0.129747161222	-0.9866858187	-0.9741944204	-0.9459270787	0.07475885976	 0.0103291774794	-0.00837158846722	-0.981085715556	-0.971059439630	-0.98284144648	-0.023862387571	-0.082039657759	 0.087835169548	-0.97299862981	-0.971441996481	-0.96485670185	-0.10556215789	-0.04224195354	-0.054653947943	-0.97932400074	-0.98344725852	-0.973610118333	-0.9658751812963	-0.95787496500	-0.9658751812963	-0.95787496500	-0.980489077407	-0.97667528019	-0.963466341852	-0.95394338037	-0.98395190426	-0.97720442778	-0.98394673981	-0.959871697407	-0.96247119574	-0.989056469815	-0.957908842222	-0.94643358352	-0.980973241667	-0.970851337963	-0.97977515204	-0.983007923704	-0.973520241111	-0.98459990519	-0.96703711204	-0.97257615296	-0.96062769611	-0.9749881246	-0.97103605037	-0.96975429574	-0.964052166481	-0.9605193814815	-0.9770652955556	-0.97516046000	-0.9617759048148	-0.95678872574	-0.97784982741	-0.97775429815
 2	           WALKING	0.2764265864	-0.018594919915	-0.10550035797	-0.423642838475	-0.078091253312	-0.425257524915	 0.9130173334	-0.346607090000	 0.084727087119	-0.9726932014	-0.9721168797	-0.9720728476	0.06180806963	 0.0182492679288	 0.00789533706610	-0.277530462620	-0.016602236285	-0.58609041898	-0.053025815735	-0.048238231695	 0.082833663322	-0.56155025576	-0.538453667797	-0.48108553508	-0.08188334292	-0.05382994491	-0.051493915683	-0.38954983153	-0.63414043610	-0.435492677288	-0.2904075937288	-0.42254416932	-0.2904075937288	-0.42254416932	-0.281424153881	-0.16415098513	-0.446549092881	-0.55301991627	-0.54791195034	-0.55779815136	-0.34604816102	-0.021904810332	-0.45380636983	-0.457651383729	-0.169219686203	-0.45522214644	-0.304615322881	-0.078764083661	-0.55495670966	-0.314313063407	-0.015332952008	-0.61589818847	-0.42971353610	-0.55477211220	-0.39665990746	-0.6040530192	-0.53304695254	-0.55985663508	-0.324289427932	-0.5771052116949	-0.1690643528136	-0.16409196945	-0.5307048147458	-0.65179283966	-0.58324929339	-0.55810455475
